year,initiative,category,category1,category2,categoryjack,categorychad
2015,Advance the science and impact of neutrons,neutron sciences,advance neutron science impact,neutron science,Neutrons,neutrons
2015,Advance the scientific basis for breakthrough nuclear technologies and systems,nuclear systems,Nuclear Science,nuclear science,Neutrons,neutrons
2015,Accelerate deployment of DOE technologies,tech transfer,Accelerate deployment of DOE technologies,technology transfer,Tech Transfer,tech transfer
2016,Advance understanding of complexity in biological and environmental systems,"biological systems, environmental systems",biological and environmental systems,biological and environmental systems,Biology and Environment,"biology, environmental"
2016,"Discover and develop sustainable and secure integrated energy systems across buildings, transportation, and manufacturing","energy systems, transportation, manufacturing, buiding energy efficiency",integrated energy systems,energy systems,Energy Systems,energy systems
2016,Scale computing and data analytics to exascale and beyond for science and energy,"HPC, data analytics",exascale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2016,Accelerate the discovery and design of new materials for energy,materials,material discovery and design,materials,Materials,materials
2016,Deliver science and technology to address complex security challenges,national security,Global Security Science and Technology,national security,National Security,national security
2016,Advance the science and impact of neutrons,neutron sciences,advance neutron science impact,neutron science,Neutrons,neutrons
2016,Advance the scientific basis for breakthrough nuclear technologies and systems,nuclear systems,Nuclear Science,nuclear science,Neutrons,neutrons
2016,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,tech transfer,Accelerate deployment of DOE technologies,technology transfer,Tech Transfer,tech transfer
2017,"Advance the understanding of complexity in biological, environmental and climate systems","climate, biological systems, environmental systems","Climate Change Science, biological and environmental systems","climate science, biological systems, environmental science",Climate Science,"climate, biology, environmental"
2017,"Accelerate research, development, and manufacturing of integrated energy systems","energy systems, transportation, manufacturing, buiding energy efficiency",integrated energy systems,energy systems,Energy Systems,energy systems
2017,Scale computing and data analytics to exascale and beyond for science and energy,"HPC, data analytics",exascale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2017,Accelerate the discovery and design of new materials for energy,materials,material discovery and design,materials,Materials,materials
2017,Deliver science and technology to address complex global security challenges,national security,Global Security Science and Technology,national security,National Security,national security
2017,Advance the science and impact of neutrons,neutron sciences,advance neutron science impact,neutron science,Neutrons,neutrons
2017,Advance the scientific basis for breakthrough nuclear technologies and systems,nuclear systems,Nuclear Science,nuclear science,Neutrons,neutrons
2017,Advance ORNL’s science and innovation culture,science & innovation culture,science and innovation culture,ORNL science and innovation culture,Science Culture,science culture
2017,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,tech transfer,Accelerate deployment of DOE technologies,technology transfer,Tech Transfer,tech transfer
2018,Advance the understanding of complexity in biological and environmental systems,"biological systems, environmental systems",biological and environmental systems,biological and environmental systems,Biology and Environment,"biology, environmental"
2018,"Accelerate research, development, and manufacturing of integrated energy systems","energy systems, transportation, manufacturing, buiding energy efficiency",integrated energy systems,energy systems,Energy Systems,energy systems
2018,Scale computing and data analytics to exascale and beyond for science and energy,"HPC, data analytics",exascale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2018,Accelerate the discovery and design of new materials for energy,materials,material discovery and design,materials,Materials,materials
2018,Deliver science and technology to address complex global security challenges,national security,Global Security Science and Technology,national security,National Security,national security
2018,Advance the science and impact of neutrons,neutron sciences,advance neutron science impact,neutron science,Neutrons,neutrons
2018,Advance the scientific basis for breakthrough nuclear technologies and systems,nuclear systems,Nuclear Science,nuclear science,Neutrons,neutrons
2018,Advance ORNL’s Science and Innovation Culture,science & innovation culture,science and innovation culture,ORNL science and innovation culture,Science Culture,science culture
2018,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,tech transfer,DOE intellectual property and strategic engagement,technology transfer,Tech Transfer,tech transfer
2019,Advance the understanding of complexity in biological and environmental systems,"biological systems, environmental systems","Systems Biology, and Environmental Sustainability",biological and environmental systems,Biology and Environment,"biology, environmental"
2019,"Accelerate research, development, and manufacturing of integrated energy systems","energy systems, transportation, manufacturing, buiding energy efficiency",integrated energy systems,energy systems,Energy Systems,energy systems
2019,Scale computing and data analytics to exascale and beyond for science and energy,"HPC, data analytics",exascale computing and data analytics,computing and data analytics,HPC & Data,"hpc, data"
2019,Enhance strategic capabilities in isotope production and R&D,isotopes,isotope production and research and development,"isotope production, research, and development",Isotopes,isotopes
2019,Accelerate the discovery and design of new materials and chemical processes for energy,"materials, chemical processes",material discovery and design,materials,Materials,materials
2019,Deliver science and technology to address complex global security challenges,national security,Global Security Science and Technology,national security,National Security,national security
2019,Advance the science and impact of neutrons,neutron sciences,advance neutron science impact,neutron science,Neutrons,neutrons
2019,Advance the scientific basis for breakthrough nuclear technologies and systems,nuclear systems,Nuclear Science,nuclear science,Neutrons,neutrons
2019,Advance ORNL’s science and innovation culture,science & innovation culture,science and innovation culture,ORNL science and innovation culture,Science Culture,science culture
2019,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,tech transfer,DOE intellectual property and strategic engagement,technology transfer,Tech Transfer,tech transfer
2020,Understand complexity in biological and evironmental systems,"biological systems, environmental systems",biological and environmental systems,biological and environmental systems,Biology and Environment,"biology, environmental"
2020,"Accelerate research, development, and manufacturing of integrated energy systems","energy systems, transportation, manufacturing, buiding energy efficiency",integrated energy systems,energy systems,Energy Systems,energy systems
2020,Scale computing and data analytics to exascale and beyond for science and energy,"HPC, data analytics",exascale computing and analytics,computing and data analytics,HPC & Data,"hpc, data"
2020,Provide strategic capabilities in isotope production and R&D,isotopes,isotope production and research and development,"isotope production, research, and development",Isotopes,isotopes
2020,Discover and design next generation materials and chemical processes for energy,"materials, chemical processes",material discovery and design,materials,Materials,materials
2020,Deliver science and technology to address pressing National Security challenges,national security,Global Security Science and Technology,national security,National Security,national security
2020,Advance impact and application of neutron science,neutron sciences,advance neutron science impact,neutron science,Neutrons,neutrons
2020,Enhance the scientific basis for breakthrough nuclear technologies and systems,nuclear systems,Nuclear Science,nuclear science,Neutrons,neutrons
2020,Enhance ORNL's science and innovation culture,science & innovation culture,science and innovation culture,ORNL science and innovation culture,Science Culture,science culture
2020,Accelerate deployment of DOE intellectual property and strategic engagement with industry,tech transfer,DOE intellectual property and strategic engagement,technology transfer,Tech Transfer,tech transfer
