year,initiative,category,category2,jack
2006,Neutron Sciences,Neutron Sciences,neutron science,Neutrons
2007,Neutron Sciences,Neutron Sciences,neutron science,Neutrons
2008,Neutron Sciences,Neutron Sciences,neutron science,Neutrons
2011,Deliver science using neutrons,advance neutron science impact,neutron science,Neutrons
2012,Deliver science using neutrons,advance neutron science impact,neutron science,Neutrons
2013,Deliver science using neutrons,advance neutron science impact,neutron science,Neutrons
2014,Deliver science using neutrons,advance neutron science impact,neutron science,Neutrons
2015,Advance the science and impact of neutrons,advance neutron science impact,neutron science,Neutrons
2016,Advance the science and impact of neutrons,advance neutron science impact,neutron science,Neutrons
2017,Advance the science and impact of neutrons,advance neutron science impact,neutron science,Neutrons
2018,Advance the science and impact of neutrons,advance neutron science impact,neutron science,Neutrons
2019,Advance the science and impact of neutrons,advance neutron science impact,neutron science,Neutrons
2020,Advance impact and application of neutron science,advance neutron science impact,neutron science,Neutrons
2011,Achieve transformational nuclear S&T outcomes through coupled experiments and simulations,Nuclear Science,nuclear science,Neutrons
2012,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons
2013,Advance the scientific basis for breakthrough nuclear science and technology,Nuclear Science,nuclear science,Neutrons
2014,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons
2015,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons
2016,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons
2017,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons
2018,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons
2019,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons
2020,Enhance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science,nuclear science,Neutrons
2017,Advance ORNL’s science and innovation culture,science and innovation culture,ORNL science and innovation culture,Science Culture
2018,Advance ORNL’s Science and Innovation Culture,science and innovation culture,ORNL science and innovation culture,Science Culture
2019,Advance ORNL’s science and innovation culture,science and innovation culture,ORNL science and innovation culture,Science Culture
2020,Enhance ORNL's science and innovation culture,science and innovation culture,ORNL science and innovation culture,Science Culture
2015,Accelerate deployment of DOE technologies,Accelerate deployment of DOE technologies,technology transfer,Tech Transfer
2016,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,Accelerate deployment of DOE technologies,technology transfer,Tech Transfer
2017,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,Accelerate deployment of DOE technologies,technology transfer,Tech Transfer
2018,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,DOE intellectual property and strategic engagement,technology transfer,Tech Transfer
2019,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,DOE intellectual property and strategic engagement,technology transfer,Tech Transfer
2020,Accelerate deployment of DOE intellectual property and strategic engagement with industry,DOE intellectual property and strategic engagement,technology transfer,Tech Transfer
2013,Enhance technology transfer,Enhance technology transfer,technology transfer,Tech Transfer
2014,Enhance technology transfer,Enhance technology transfer,technology transfer,Tech Transfer
2012,Deliver sustainable transportation solutions,Sustainable transportation solutions,transportation,Transportation
2004,University Partnerships,University Partnerships,university partnerships,Uni Partnerships
2005,University Partnerships,University Partnerships,university partnerships,Uni Partnerships
2006,University Partnerships,University Partnerships,university partnerships,Uni Partnerships
2007,University Partnerships,University Partnerships,university partnerships,Uni Partnerships
2008,University Partnerships,University Partnerships,university partnerships,Uni Partnerships
